Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
New Zealand,94,94,95,95,96,96,96,94,93,94,93,95,90,91,91,91,90,89
Denmark,98,95,95,95,95,95,95,94,93,93,93,94,90,91,92,91,90,88
Finland,100,99,97,97,97,96,96,94,90,89,92,94,90,89,89,90,89,85
Norway,91,86,85,88,89,89,88,87,79,86,86,90,85,86,86,88,85,85
Switzerland,86,84,85,88,91,91,91,90,90,90,87,88,86,85,86,86,86,85
Singapore,91,92,93,94,93,94,94,93,92,92,93,92,87,86,84,85,84,84
Sweden,94,90,93,93,92,92,92,93,93,92,92,93,88,89,87,89,88,84
Canada,92,89,90,87,85,84,85,87,87,87,89,87,84,81,81,83,82,82
Luxembourg,86,87,90,87,84,85,86,84,83,82,85,85,80,80,82,85,81,82
Netherlands,89,88,90,89,87,86,87,90,89,89,88,89,84,83,83,84,83,82
United Kingdom,87,83,87,87,86,86,86,84,77,77,76,78,74,76,78,81,81,82
Germany,76,74,73,77,82,82,80,78,79,80,79,80,79,78,79,81,81,81
Australia,83,85,86,88,88,88,87,86,87,87,87,88,85,81,80,79,79,77
Hong Kong,77,79,82,80,80,83,83,83,81,82,84,84,77,75,74,75,77,77
Iceland,91,92,94,96,95,97,96,92,89,87,85,83,82,78,79,79,78,77
Austria,77,78,78,80,84,87,86,81,81,79,79,78,69,69,72,76,75,75
Belgium,61,66,71,76,75,74,73,71,73,71,71,75,75,75,76,77,77,75
United States of America,78,76,77,75,75,76,73,72,73,75,71,71,73,73,74,76,74,75
Ireland,72,75,69,75,75,74,74,75,77,80,80,75,69,72,74,75,73,74
Japan,64,71,71,70,69,73,76,75,73,77,78,80,74,74,76,75,72,73
Estonia,57,56,56,55,60,64,67,65,66,66,65,64,64,68,69,70,70,71
United Arab Emirates, , , ,52,61,62,62,57,59,65,63,68,68,69,70,70,66,71
France,67,67,63,69,71,75,74,73,69,69,68,70,71,71,69,70,69,70
Uruguay, ,51,51,55,62,59,64,67,69,67,69,70,72,73,73,74,71,70
Barbados, , , , ,73,69,67,69,70,74,78,78,76,75,74,,61,68
Bhutan, , , , , , ,60,50,52,50,57,57,63,63,65,65,65,67
Chile,74,75,75,74,74,73,73,70,69,67,72,72,72,71,73,70,66,67
Bahamas, , , , , , , , , , , ,73,71,71,71,,66,65
Portugal,64,63,63,66,63,65,66,65,61,58,60,61,63,62,63,64,62,63
Qatar, , , ,56,52,59,60,60,65,70,77,72,68,68,69,71,61,63
Taiwan,55,59,56,57,56,59,59,57,57,56,58,61,61,61,61,62,61,63
Brunei Darussalam, , , , , , , , , ,55,55,52,55,60,,,58,62
Israel,66,76,73,70,64,63,59,61,60,61,61,58,60,61,60,61,64,62
