ISO,Rank2018,FR_Country,EN_country,ES_country,Underlying situation score 2016,Abuse score 2016,Overall Score 2016,Progression RANK,Rank 2017,Score 2017,Zone
AFG,118,Afghanistan,Afghanistan,Afganistàn,"29,53","68,3","37,28",2,120,"39,46",Asie-Pacifique
AGO,121,Angola,Angola,Angola,"38,35",0,"38,35",4,125,"40,42",Afrique
ALB,75,Albanie,Albania,Albania,"29,49","16,1","29,49",1,76,"29,92",UE Balkans
AND,37,Andorre,Andorra,Andorra,"22,21",0,"22,21",-2,35,"21,03",UE Balkans
ARE,128,Émirats arabes unis,United Arab Emirates,Emiratos çrabes Unidos,"40,37","40,8","40,86",-9,119,"39,39",MENA
ARG,52,Argentine,Argentina,Argentina,"22,54","40,1","26,05",-2,50,"25,07",Amériques
ARM,80,Arménie,Armenia,Armenia,"29,99",0,"29,99",-1,79,"30,38",EEAC
AUS,19,Australie,Australia,Australia,"15,46",0,"15,46",0,19,"16,02",Asie-Pacifique
AUT,11,Autriche,Austria,Austria,"14,04",0,"14,04",0,11,"13,47",UE Balkans
AZE,163,Azerbaïdjan,Azerbaijan,Azerbaiyàn,"57,81","59,6","59,73",-1,162,"56,4",EEAC
BDI,159,Burundi,Burundi,Burundi,"55,26",23,"55,26",1,160,"55,78",Afrique
BEL,7,Belgique,Belgium,Bélgica,"13,16",0,"13,16",2,9,"12,75",UE Balkans
BEN,84,Bénin,Benin,Benín,"30,16",0,"30,16",-6,78,"30,32",Afrique
BFA,41,Burkina Faso,Burkina Faso,Burkina Faso,"23,33",0,"23,33",1,42,"23,85",Afrique
BGD,146,Bangladesh,Bangladesh,Bangladés,"47,2","54,3","48,62",0,146,"48,36",Asie-Pacifique
BGR,111,Bulgarie,Bulgaria,Bulgaria,"35,22",0,"35,22",-2,109,"35,01",UE Balkans
BHR,166,Bahreïn,Bahrain,Baréin,"59,72","60,8","60,85",-2,164,"58,88",MENA
BIH,62,Bosnie-Herzégovine,Bosnia and Herzegovina,Bosnia-Herzegovina,"27,37",0,"27,37",3,65,"27,83",UE Balkans
BLR,155,Bélarus,Belarus,Bielorrusia,"52,28","50,2","52,59",-2,153,"52,43",EEAC
BLZ,47,Bélize,Belize,Belice,"24,55",0,"24,55",-6,41,"23,43",Amériques
