Country Code,Economy,Income Group,Year,Latitude,Longitude
ZWE,Zimbabwe,Lower middle income (LM),1987,"-19,098","30,047"
ZMB,Zambia,Low income (L),1987,"-15,13","25,268"
YEM,"Yemen, Rep.",Lower middle income (LM),1987,"15,569","47,793"
PSE,West Bank and Gaza,NA,1987,"32,097","35,26"
VIR,Virgin Islands (U.S.),High income (H),1987,"17,74","-64,8"
VNM,Vietnam,Low income (L),1987,"21,75","105,373"
VEN,"Venezuela, RB",Upper middle income (UM),1987,"6,983","-64,588"
VUT,Vanuatu,Lower middle income (LM),1987,"-15,339","166,89"
UZB,Uzbekistan,NA,1987,"41,757","63,958"
URY,Uruguay,Upper middle income (UM),1987,"-32,948","-56,249"
USA,United States,High income (H),1987,"400,792","-988,164"
GBR,United Kingdom,High income (H),1987,"52,289","-1,259"
ARE,United Arab Emirates,High income (H),1987,"239,299","539,031"
UKR,Ukraine,NA,1987,"49,364","32,132"
UGA,Uganda,Low income (L),1987,"19,392","327,415"
TUV,Tuvalu,NA,1987,"-7,48","178,68"
TCA,Turks and Caicos Islands,NA,1987,"21,816","-71,799"
TKM,Turkmenistan,NA,1987,"39,584","59,597"
TUR,Turkey,Lower middle income (LM),1987,"39,144","34,188"
TUN,Tunisia,Lower middle income (LM),1987,"35,594","9,421"
TTO,Trinidad and Tobago,Upper middle income (UM),1987,"10,448","-61,257"
TON,Tonga,Lower middle income (LM),1987,"-21,167","-175,19"
TGO,Togo,Low income (L),1987,"7,7","1,106"
TLS,Timor-Leste,NA,1987,"-8,856","125,556"
THA,Thailand,Lower middle income (LM),1987,"15,688","100,845"
TZA,Tanzania,Low income (L),1987,"-5,651","34,146"
TJK,Tajikistan,NA,1987,"38,367","72,597"
TWN,"Taiwan, China",High income (H),1987,"23,513","120,797"
SYR,Syrian Arab Republic,Lower middle income (LM),1987,"35,303","38,322"
CHE,Switzerland,High income (H),1987,"467,794","80,329"
SWE,Sweden,High income (H),1987,"662,188",19
SWZ,Swaziland,Lower middle income (LM),1987,"-26,596","31,47"
SUR,Suriname,Upper middle income (UM),1987,"4,248","-55,848"
SDN,Sudan,Low income (L),1987,"15,739","29,533"
VCT,St. Vincent and the Grenadines,Lower middle income (LM),1987,"13,234","-61,202"
MAF,St. Martin (French part),NA,1987,"18,081","-63,046"
LCA,St. Lucia,Lower middle income (LM),1987,"13,865","-60,98"
KNA,St. Kitts and Nevis,Upper middle income (UM),1987,"17,147","-62,58"
